data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
SD2H1000_1,0.943,0.846,0.929,0.813,0.902,0.727,0.846,0.577,0.943,0.845
,,,,,0.9114,0.7528,0.8916,0.6954,0.9392,0.8332
,,,,,0.019957455,0.053349789,0.027042559,0.070649133,0.008167007,0.022398661
,,,,,,,,,,
SD2H300_5,0.911,0.767,0.919,0.793,0.906,0.73,0.956,0.873,0.947,0.86
SD2H300_4,0.911,0.767,0.919,0.793,0.946,0.853,0.958,0.883,0.919,0.773
SD2H300_3,0.911,0.767,0.919,0.793,0.827,0.557,0.89,0.7,0.884,0.7
SD2H300_2,0.911,0.767,0.919,0.793,0.944,0.85,0.842,0.593,0.878,0.643
SD2H300_1,0.911,0.767,0.919,0.793,0.862,0.62,0.957,0.88,0.869,0.66
,,,,,0.897,0.722,0.9206,0.7858,0.8994,0.7272
,,,,,0.052,0.133452239,0.052657383,0.132720383,0.032669558,0.089552778
,,,,,,,,,,
SD2H50_5,0.867,0.68,0.913,0.78,0.907,0.72,0.967,0.9,0.913,0.78
SD2H50_4,0.867,0.68,0.913,0.78,0.927,0.78,0.98,0.94,0.913,0.78
SD2H50_3,0.867,0.68,0.913,0.78,0.86,0.6,0.953,0.88,0.94,0.84
SD2H50_2,0.867,0.68,0.913,0.78,0.92,0.76,0.947,0.84,0.933,0.82
SD2H50_1,0.867,0.68,0.913,0.78,0.92,0.76,0.867,0.66,0.927,0.8
,,,,,0.9068,0.724,0.9428,0.844,0.9252,0.804
,,,,,0.027142218,0.072663608,0.044262851,0.108995413,0.012049896,0.02607681
,,,,,,,,,,
SD2L1000_5,0.995,0.987,0.993,0.981,0.994,0.983,0.958,0.874,0.995,0.984
SD2L1000_4,0.995,0.987,0.993,0.981,0.987,0.963,0.987,0.963,0.949,0.853
SD2L1000_3,0.995,0.987,0.993,0.981,0.985,0.957,0.959,0.877,0.983,0.949
SD2L1000_2,0.995,0.987,0.993,0.981,0.988,0.963,0.959,0.876,0.857,0.618
SD2L1000_1,0.995,0.987,0.993,0.981,0.986,0.96,0.986,0.957,0.992,0.976
,,,,,0.988,0.9652,0.9698,0.9094,0.9552,0.876
,,,,,,,,,,
,,,,,,,,,,
SD2L300_5,0.989,0.967,0.987,0.963,0.948,0.857,0.991,0.973,0.983,0.95
SD2L300_4,0.989,0.967,0.987,0.963,0.976,0.927,0.988,0.963,0.881,0.643
SD2L300_3,0.989,0.967,0.987,0.963,0.971,0.917,0.99,0.97,0.941,0.84
SD2L300_2,0.989,0.967,0.987,0.963,0.982,0.947,0.99,0.97,0.991,0.973
SD2L300_1,0.989,0.967,0.987,0.963,0.928,0.783,0.989,0.967,0.989,0.967
,,,,,0.961,0.8862,0.9896,0.9686,0.957,0.8746
,,,,,0.022494444,0.066732301,0.001140175,0.003781534,0.047138095,0.140304312
,,,,,,,,,,
SD2L50_5,0.987,0.96,0.993,0.98,0.98,0.94,0.873,0.62,0.873,0.62
