data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
SD2H1000_1,0.941,0.841,0.928,0.812,0.843,0.569,0.911,0.746,0.941,0.832
,,,,,0.8998,0.7192,0.938,0.8248,0.9428,0.8392
,,,,,0.04042524,0.108934384,0.025602734,0.074382122,0.036002778,0.101834179
,,,,,,,,,,
SD2H300_5,0.91,0.76,0.927,0.803,0.871,0.657,0.92,0.77,0.969,0.917
SD2H300_4,0.91,0.76,0.927,0.803,0.87,0.65,0.921,0.773,0.883,0.69
SD2H300_3,0.91,0.76,0.927,0.803,0.869,0.647,0.918,0.763,0.94,0.84
SD2H300_2,0.91,0.76,0.927,0.803,0.942,0.84,0.976,0.933,0.97,0.92
SD2H300_1,0.91,0.76,0.927,0.803,0.957,0.873,0.923,0.777,0.967,0.913
,,,,,0.9018,0.7334,0.9316,0.8032,0.9458,0.856
,,,,,0.043871403,0.11303672,0.024885739,0.072740635,0.037251846,0.098587525
,,,,,,,,,,
SD2H50_5,0.86,0.62,0.9,0.74,0.88,0.72,0.933,0.84,0.9,0.74
SD2H50_4,0.86,0.62,0.9,0.74,0.833,0.58,0.933,0.84,0.893,0.74
SD2H50_3,0.86,0.62,0.9,0.74,0.913,0.78,0.933,0.8,0.9,0.72
SD2H50_2,0.86,0.62,0.9,0.74,0.893,0.72,0.947,0.86,0.86,0.66
SD2H50_1,0.86,0.62,0.9,0.74,0.813,0.5,0.94,0.84,0.9,0.76
,,,,,0.8664,0.66,0.9372,0.836,0.8906,0.724
,,,,,0.041926126,0.115758369,0.00626099,0.021908902,0.017372392,0.038470768
,,,,,,,,,,
SD2L1000_5,0.994,0.985,0.993,0.981,0.951,0.857,0.955,0.867,0.882,0.648
SD2L1000_4,0.994,0.985,0.993,0.981,0.995,0.986,0.995,0.986,0.993,0.979
SD2L1000_3,0.994,0.985,0.993,0.981,0.989,0.968,0.943,0.828,0.996,0.987
SD2L1000_2,0.994,0.985,0.993,0.981,0.996,0.987,0.957,0.873,0.897,0.693
SD2L1000_1,0.994,0.985,0.993,0.981,0.995,0.985,0.937,0.814,0.994,0.983
,,,,,0.9852,0.9566,0.9574,0.8736,0.9524,0.858
,,,,,0.019318385,0.056225439,0.022600885,0.067655746,0.057674084,0.171924402
,,,,,,,,,,
SD2L300_5,0.99,0.97,0.988,0.963,0.993,0.98,0.996,0.987,0.988,0.963
SD2L300_4,0.99,0.97,0.988,0.963,0.994,0.983,0.99,0.97,0.988,0.967
SD2L300_3,0.99,0.97,0.988,0.963,0.988,0.967,0.957,0.873,0.989,0.967
SD2L300_2,0.99,0.97,0.988,0.963,0.99,0.97,0.996,0.987,0.982,0.947
SD2L300_1,0.99,0.97,0.988,0.963,0.976,0.927,0.99,0.97,0.988,0.963
,,,,,0.9882,0.9654,0.9858,0.9574,0.987,0.9614
,,,,,0.007224957,0.022478879,0.016376813,0.047940588,0.002828427,0.008294577
,,,,,,,,,,
SD2L50_5,0.98,0.94,0.98,0.94,0.973,0.92,0.993,0.98,0.953,0.86
SD2L50_4,0.98,0.94,0.98,0.94,0.967,0.92,0.887,0.66,0.967,0.92
SD2L50_3,0.98,0.94,0.98,0.94,0.973,0.92,0.98,0.94,0.973,0.92
SD2L50_2,0.98,0.94,0.98,0.94,0.967,0.9,0.96,0.88,0.98,0.94
SD2L50_1,0.98,0.94,0.98,0.94,0.973,0.92,0.993,0.98,0.96,0.88
,,,,,0.9706,0.916,0.9626,0.888,0.9666,0.904
,,,,,0.003286335,0.008944272,0.044365527,0.133865604,0.010597169,0.032863353
,,,,,,,,,,
SD3H1000_5,0.735,0.212,0.781,0.313,0.906,0.679,0.901,0.634,0.906,0.713
SD3H1000_4,0.735,0.212,0.781,0.313,0.913,0.72,0.913,0.691,0.907,0.714
SD3H1000_3,0.735,0.212,0.781,0.313,0.914,0.729,0.914,0.699,0.91,0.731
SD3H1000_2,0.735,0.212,0.781,0.313,0.913,0.725,0.901,0.641,0.877,0.538
SD3H1000_1,0.735,0.212,0.781,0.313,0.887,0.56,0.894,0.61,0.906,0.716
,,,,,0.9066,0.6826,0.9046,0.655,0.9012,0.6824
,,,,,0.011414903,0.071402381,0.008619745,0.038386195,0.013627179,0.081051218
,,,,,,,,,,
SD3H300_5,0.738,0.26,0.791,0.293,0.891,0.547,0.935,0.727,0.885,0.61
SD3H300_4,0.738,0.26,0.791,0.293,0.913,0.653,0.937,0.743,0.847,0.457
SD3H300_3,0.738,0.26,0.791,0.293,0.925,0.697,0.927,0.707,0.849,0.473
SD3H300_2,0.738,0.26,0.791,0.293,0.883,0.517,0.935,0.727,0.89,0.64
SD3H300_1,0.738,0.26,0.791,0.293,0.893,0.54,0.932,0.72,0.886,0.61
,,,,,0.901,0.5908,0.9332,0.7248,0.8714,0.558
,,,,,0.017378147,0.079203535,0.003898718,0.013046072,0.021454603,0.085962201
,,,,,,,,,,
SD3H50_5,0.768,0.32,0.764,0.34,0.896,0.6,0.94,0.78,0.848,0.44
SD3H50_4,0.768,0.32,0.764,0.34,0.908,0.62,0.924,0.72,0.876,0.56
SD3H50_3,0.768,0.32,0.764,0.34,0.896,0.6,0.908,0.7,0.868,0.5
SD3H50_2,0.768,0.32,0.764,0.34,0.92,0.68,0.892,0.64,0.856,0.54
SD3H50_1,0.768,0.32,0.764,0.34,0.908,0.64,0.92,0.72,0.856,0.5
,,,,,0.9056,0.628,0.9168,0.712,0.8608,0.508
,,,,,0.01003992,0.033466401,0.017977764,0.050199602,0.01109955,0.046043458
,,,,,,,,,,
SD3L1000_5,0.858,0.508,0.794,0.309,0.939,0.766,0.937,0.751,0.935,0.762
SD3L1000_4,0.858,0.508,0.794,0.309,0.943,0.783,0.939,0.76,0.936,0.762
SD3L1000_3,0.858,0.508,0.794,0.309,0.925,0.691,0.915,0.637,0.906,0.626
SD3L1000_2,0.858,0.508,0.794,0.309,0.917,0.646,0.942,0.766,0.916,0.658
SD3L1000_1,0.858,0.508,0.794,0.309,0.937,0.758,0.94,0.758,0.935,0.755
,,,,,0.9322,0.7288,0.9346,0.7344,0.9256,0.7126
,,,,,0.010825895,0.058006034,0.011104053,0.054711059,0.013794927,0.065496565
,,,,,,,,,,
SD3L300_5,0.869,0.503,0.809,0.31,0.923,0.67,0.932,0.7,0.908,0.697
SD3L300_4,0.869,0.503,0.809,0.31,0.924,0.67,0.925,0.7,0.903,0.673
SD3L300_3,0.869,0.503,0.809,0.31,0.919,0.66,0.937,0.74,0.898,0.637
SD3L300_2,0.869,0.503,0.809,0.31,0.929,0.697,0.929,0.703,0.908,0.697
SD3L300_1,0.869,0.503,0.809,0.31,0.921,0.667,0.939,0.74,0.91,0.7
,,,,,0.9232,0.6728,0.9324,0.7166,0.9054,0.6808
,,,,,0.003768289,0.014131525,0.005727128,0.021396261,0.004878524,0.026799254
,,,,,,,,,,
SD3L50_5,0.836,0.36,0.832,0.38,0.912,0.62,0.944,0.76,0.908,0.64
SD3L50_4,0.836,0.36,0.832,0.38,0.94,0.74,0.944,0.74,0.912,0.64
SD3L50_3,0.836,0.36,0.832,0.38,0.936,0.72,0.952,0.78,0.908,0.68
SD3L50_2,0.836,0.36,0.832,0.38,0.92,0.64,0.932,0.72,0.892,0.66
SD3L50_1,0.836,0.36,0.832,0.38,0.936,0.72,0.94,0.76,0.916,0.7
,,,,,0.9288,0.688,0.9424,0.752,0.9072,0.664
,,,,,0.012132601,0.054037024,0.007266361,0.022803509,0.009121403,0.02607681
,,,,,,,,,,
SD4H1000_5,0.882,0.536,0.835,0.399,0.898,0.557,0.939,0.735,0.912,0.64
SD4H1000_4,0.882,0.536,0.835,0.399,0.944,0.752,0.937,0.726,0.911,0.635
SD4H1000_3,0.882,0.536,0.835,0.399,0.897,0.553,0.924,0.672,0.92,0.68
SD4H1000_2,0.882,0.536,0.835,0.399,0.934,0.714,0.937,0.731,0.921,0.68
SD4H1000_1,0.882,0.536,0.835,0.399,0.939,0.724,0.929,0.7,0.88,0.52
,,,,,0.9224,0.66,0.9332,0.7128,0.9088,0.631
,,,,,0.023006521,0.096868468,0.006418723,0.02658383,0.016724234,0.065612499
,,,,,,,,,,
SD4H300_5,0.829,0.377,0.859,0.473,0.93,0.707,0.934,0.757,0.899,0.63
SD4H300_4,0.829,0.377,0.859,0.473,0.931,0.7,0.947,0.783,0.916,0.7
SD4H300_3,0.829,0.377,0.859,0.473,0.925,0.677,0.925,0.7,0.917,0.707
SD4H300_2,0.829,0.377,0.859,0.473,0.893,0.533,0.927,0.703,0.915,0.687
SD4H300_1,0.829,0.377,0.859,0.473,0.927,0.7,0.904,0.6,0.916,0.687
,,,,,0.9212,0.6634,0.9274,0.7086,0.9126,0.6822
,,,,,0.015943651,0.073771946,0.015662056,0.070315717,0.007635444,0.030425318
,,,,,,,,,,
SD4H50_5,0.828,0.38,0.828,0.36,0.912,0.68,0.92,0.76,0.896,0.6
SD4H50_4,0.828,0.38,0.828,0.36,0.86,0.52,0.924,0.76,0.872,0.56
SD4H50_3,0.828,0.38,0.828,0.36,0.844,0.44,0.936,0.82,0.904,0.66
SD4H50_2,0.828,0.38,0.828,0.36,0.824,0.4,0.904,0.72,0.868,0.58
SD4H50_1,0.828,0.38,0.828,0.36,0.872,0.62,0.924,0.74,0.88,0.58
,,,,,0.8624,0.532,0.9216,0.76,0.884,0.596
,,,,,0.033057526,0.11798305,0.011523888,0.037416574,0.015491933,0.038470768
,,,,,,,,,,
SD4L1000_5,0.969,0.857,0.916,0.62,0.978,0.896,0.981,0.912,0.954,0.788
SD4L1000_4,0.969,0.857,0.916,0.62,0.977,0.889,0.976,0.887,0.979,0.901
SD4L1000_3,0.969,0.857,0.916,0.62,0.979,0.901,0.98,0.903,0.962,0.829
SD4L1000_2,0.969,0.857,0.916,0.62,0.962,0.829,0.983,0.919,0.959,0.81
SD4L1000_1,0.969,0.857,0.916,0.62,0.946,0.752,0.981,0.909,0.971,0.863
,,,,,0.9684,0.8534,0.9802,0.906,0.965,0.8382
,,,,,0.014328294,0.063689089,0.002588436,0.012083046,0.009974969,0.044606053
,,,,,,,,,,
SD4L300_5,0.947,0.763,0.897,0.577,0.969,0.857,0.971,0.863,0.967,0.857
SD4L300_4,0.947,0.763,0.897,0.577,0.967,0.847,0.971,0.867,0.959,0.817
SD4L300_3,0.947,0.763,0.897,0.577,0.963,0.823,0.966,0.837,0.966,0.85
SD4L300_2,0.947,0.763,0.897,0.577,0.972,0.863,0.964,0.83,0.967,0.85
SD4L300_1,0.947,0.763,0.897,0.577,0.967,0.85,0.973,0.88,0.965,0.847
,,,,,0.9676,0.848,0.969,0.8554,0.9648,0.8442
,,,,,0.003286335,0.015297059,0.003807887,0.021102133,0.00334664,0.01564289
,,,,,,,,,,
SD4L50_5,0.948,0.78,0.868,0.42,0.976,0.9,0.952,0.78,0.936,0.74
SD4L50_4,0.948,0.78,0.868,0.42,0.972,0.92,0.956,0.82,0.936,0.74
SD4L50_3,0.948,0.78,0.868,0.42,0.972,0.88,0.96,0.86,0.948,0.76
SD4L50_2,0.948,0.78,0.868,0.42,0.964,0.9,0.964,0.84,0.956,0.78
SD4L50_1,0.948,0.78,0.868,0.42,0.96,0.84,0.964,0.86,0.932,0.72
,,,,,0.9688,0.888,0.9592,0.832,0.9416,0.748
,,,,,0.006572671,0.030331502,0.005215362,0.033466401,0.01003992,0.022803509
